,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Name,Rotowire Name,Full Name,Starter
69,61800-52873:Joe Ross,61800-52873,P,Joe,Joe Ross,Ross,26.4444444444444,18.0,7400,SD@WSH,WSH,SD,IL,Elbow,,,,P,,,,
70,61800-5983:Rich Hill,61800-5983,P,Rich,Rich Hill,Hill,26.5,18.0,7400,TB@ATL,TB,ATL,,,,Yes,,P,Rich Hill,Rich Hill,Rich Hill,1.0
71,61800-68452:Kenta Maeda,61800-68452,P,Kenta,Kenta Maeda,Maeda,25.0666666666667,15.0,7300,MIN@DET,MIN,DET,,,,,,P,,,,
72,61800-13258:Wily Peralta,61800-13258,P,Wily,Wily Peralta,Peralta,20.6666666666667,6.0,7300,MIN@DET,DET,MIN,,,,Yes,,P,,,,
73,61800-79224:Chris Paddack,61800-79224,P,Chris,Chris Paddack,Paddack,20.7894736842105,19.0,7300,SD@WSH,SD,WSH,,,,,,P,,,,
74,61800-79072:Brad Keller,61800-79072,P,Brad,Brad Keller,Keller,21.1052631578947,19.0,7200,BAL@KC,KC,BAL,,,,,,P,,,,
75,61800-63136:Matthew Boyd,61800-63136,P,Matthew,Matthew Boyd,Boyd,26.2307692307692,13.0,7200,MIN@DET,DET,MIN,IL,Triceps,,,,P,,,,
76,61800-141024:Bruce Zimmermann,61800-141024,P,Bruce,Bruce Zimmermann,Zimmermann,22.8333333333333,12.0,7200,BAL@KC,BAL,KC,IL,Biceps,,,,P,,,,
77,61800-145612:Bailey Ober,61800-145612,P,Bailey,Bailey Ober,Ober,19.5,8.0,7100,MIN@DET,MIN,DET,,,,,,P,,,,
78,61800-79226:Eric Lauer,61800-79226,P,Eric,Eric Lauer,Lauer,22.8461538461538,13.0,7100,MIL@CIN,MIL,CIN,,,,,,P,,,,
79,61800-102395:Ryan Weathers,61800-102395,P,Ryan,Ryan Weathers,Weathers,14.9444444444444,18.0,7100,SD@WSH,SD,WSH,IL,Ankle,,,,P,,,,
80,61800-17121:Miles Mikolas,61800-17121,P,Miles,Miles Mikolas,Mikolas,18.0,1.0,7000,SF@STL,STL,SF,IL,Forearm,,,,P,,,,
81,61800-68484:Chad Kuhl,61800-68484,P,Chad,Chad Kuhl,Kuhl,21.4166666666667,12.0,7000,NYM@PIT,PIT,NYM,,,,,,P,,,,
82,61800-68654:John Gant,61800-68654,P,John,John Gant,Gant,15.4761904761905,21.0,7000,SF@STL,STL,SF,,,,,,P,,,,
83,61800-13664:Patrick Corbin,61800-13664,P,Patrick,Patrick Corbin,Corbin,22.5555555555556,18.0,7000,SD@WSH,WSH,SD,,,,,,P,,,,
84,61800-102344:Brady Singer,61800-102344,P,Brady,Brady Singer,Singer,22.6842105263158,19.0,7000,BAL@KC,KC,BAL,,,,,,P,,,,
85,61800-12864:Michael Pineda,61800-12864,P,Michael,Michael Pineda,Pineda,24.9166666666667,12.0,6900,MIN@DET,MIN,DET,,,,,,P,,,,
86,61800-82534:Bryse Wilson,61800-82534,P,Bryse,Bryse Wilson,Wilson,18.6666666666667,6.0,6900,TB@ATL,ATL,TB,,,,,,P,,,,
87,61800-102287:Kyle Muller,61800-102287,P,Kyle,Kyle Muller,Muller,22.6,5.0,6900,TB@ATL,ATL,TB,,,,,,P,,,,
88,61800-23089:Dallas Keuchel,61800-23089,P,Dallas,Dallas Keuchel,Keuchel,22.1111111111111,18.0,6800,HOU@CWS,CWS,HOU,,,,,,P,,,,
89,61800-12918:Julio Teheran,61800-12918,P,Julio,Julio Teheran,Teheran,27.0,1.0,6800,MIN@DET,DET,MIN,IL,Shoulder,,,,P,,,,
90,61800-82810:Elieser Hernandez,61800-82810,P,Elieser,Elieser Hernandez,Hernandez,20.0,2.0,6800,MIA@PHI,MIA,PHI,IL,Quadriceps,,,,P,,,,
91,61800-13268:Danny Duffy,61800-13268,P,Danny,Danny Duffy,Duffy,28.2307692307692,13.0,6800,BAL@KC,KC,BAL,,,,,,P,,,,
92,61800-52194:Aaron Sanchez,61800-52194,P,Aaron,Aaron Sanchez,Sanchez,22.1666666666667,6.0,6800,SF@STL,SF,STL,IL,Biceps,,,,P,,,,
93,61800-79107:Vladimir Gutierrez,61800-79107,P,Vladimir,Vladimir Gutierrez,Gutierrez,25.6666666666667,9.0,6800,MIL@CIN,CIN,MIL,,,,,,P,,,,
94,61800-5416:Brett Anderson,61800-5416,P,Brett,Brett Anderson,Anderson,15.1538461538462,13.0,6800,MIL@CIN,MIL,CIN,,,,,,P,,,,
