,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Sack,NY/A,ANY/A,Sk%,4QC,GWD
27,Tua Tagovailoa,MIA,23,qb,1,1,1-0-0,16,27,59.3,202,1,3.7,1,3.7,9,36,7.5,6.6,12.6,202.0,79.6,42.3,2,17,6.38,5.52,6.9,,
28,Ben Roethlisberger,PIT,39,qb,1,1,1-0-0,18,32,56.3,188,1,3.1,0,0.0,9,24,5.9,6.5,10.4,188.0,83.9,32.7,2,11,5.21,5.79,5.9,1,1
30,Matt Ryan,ATL,36,qb,1,1,0-1-0,21,35,60.0,164,0,0.0,0,0.0,8,18,4.7,4.7,7.8,164.0,71.6,23.7,3,28,3.58,3.58,7.9,,
31,Jameis Winston,NOR,27,qb,1,1,1-0-0,14,20,70.0,148,5,25.0,0,0.0,9,55,7.4,12.4,10.6,148.0,130.8,91.8,0,0,7.40,12.40,0.0,,
32,Aaron Rodgers,GNB,38,qb,1,1,0-1-0,15,28,53.6,133,0,0.0,2,7.1,6,31,4.8,1.5,8.9,133.0,36.8,17.2,1,11,4.21,1.10,3.4,,
33,Jordan Love,GNB,23,,1,0,,5,7,71.4,68,0,0.0,0,0.0,3,32,9.7,9.7,13.6,68.0,102.1,40.3,1,4,8.00,8.00,12.5,,
34,Ryan Fitzpatrick,WAS,39,qb,1,1,0-1-0,3,6,50.0,13,0,0.0,0,0.0,0,6,2.2,2.2,4.3,13.0,56.2,3.8,1,2,1.57,1.57,14.3,,
35,Justin Jefferson,MIN,22,wr,1,1,,1,1,100.0,11,0,0.0,0,0.0,1,11,11.0,11.0,11.0,11.0,112.5,97.7,0,0,11.00,11.00,0.0,,
36,Justin Fields,CHI,22,,1,0,,2,2,100.0,10,0,0.0,0,0.0,0,9,5.0,5.0,5.0,10.0,87.5,80.2,0,0,5.00,5.00,0.0,,
37,Matthias Farley,TEN,29,,1,0,,1,1,100.0,6,0,0.0,0,0.0,1,6,6.0,6.0,6.0,6.0,91.7,,0,0,6.00,6.00,0.0,,
38,Trey Lance,SFO,21,,1,0,,1,1,100.0,5,1,100.0,0,0.0,1,5,5.0,25.0,5.0,5.0,127.1,8.7,0,0,5.00,25.00,0.0,,
39,Taysom Hill,NOR,31,,1,0,,1,1,100.0,3,0,0.0,0,0.0,1,3,3.0,3.0,3.0,3.0,79.2,1.9,0,0,3.00,3.00,0.0,,
