,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
54,Myles Gaskin,MIA,24,rb,1,1,5,5,100.0%,27,5.4,0,1,12,5.4,5.0,27.0,0
55,Antonio Gibson ,WAS,23,rb,2,2,7,5,71.4%,22,4.4,0,1,11,3.1,2.5,11.0,2
56,Tyler Higbee,LAR,28,te,1,1,6,5,83.3%,68,13.6,0,4,37,11.3,5.0,68.0,0
57,Justin Jefferson,MIN,22,wr,1,1,9,5,55.6%,71,14.2,0,3,34,7.9,5.0,71.0,0
58,Diontae Johnson,PIT,25,wr,1,1,10,5,50.0%,36,7.2,1,2,14,3.6,5.0,36.0,0
59,Marvin Jones,JAX,31,wr,1,1,9,5,55.6%,77,15.4,1,3,33,8.6,5.0,77.0,0
61,Christian Kirk,ARI,25,,1,0,5,5,100.0%,70,14.0,2,3,26,14.0,5.0,70.0,0
62,Cole Kmet,CHI,22,te,1,1,7,5,71.4%,42,8.4,0,3,10,6.0,5.0,42.0,0
63,Jarvis Landry,CLE,29,wr,1,1,5,5,100.0%,71,14.2,0,2,32,14.2,5.0,71.0,0
64,J.D. McKissic,WAS,28,,2,0,7,5,71.4%,83,16.6,0,1,56,11.9,2.5,41.5,0
65,Darnell Mooney,CHI,24,wr,1,1,7,5,71.4%,26,5.2,0,1,9,3.7,5.0,26.0,0
66,Calvin Ridley,ATL,27,wr,1,1,8,5,62.5%,51,10.2,0,3,16,6.4,5.0,51.0,0
67,Jonnu Smith,NWE,26,te,1,1,5,5,100.0%,42,8.4,0,2,11,8.4,5.0,42.0,1
68,A.J. Brown,TEN,24,wr,1,1,8,4,50.0%,49,12.3,1,4,19,6.1,4.0,49.0,0
69,Dyami Brown,WAS,22,wr,2,2,10,4,40.0%,32,8.0,0,1,22,3.2,2.0,16.0,0
70,Pharaoh Brown,HOU,27,te,1,1,5,4,80.0%,67,16.8,0,3,29,13.4,4.0,67.0,0
71,Tyler Conklin,MIN,26,,1,0,4,4,100.0%,41,10.3,0,1,27,10.3,4.0,41.0,0
72,Chase Edmonds,ARI,25,rb,1,1,4,4,100.0%,43,10.8,0,1,36,10.8,4.0,43.0,0
73,Bryan Edwards,LVR,23,wr,1,1,5,4,80.0%,81,20.3,0,4,32,16.2,4.0,81.0,0
74,Michael Gallup,DAL,25,,1,0,7,4,57.1%,36,9.0,0,3,12,5.1,4.0,36.0,0
75,Dallas Goedert,PHI,26,te,1,1,5,4,80.0%,42,10.5,1,3,13,8.4,4.0,42.0,0
76,Marquise Goodwin,CHI,31,,1,0,4,4,100.0%,45,11.3,0,2,19,11.3,4.0,45.0,0
77,Tee Higgins,CIN,22,wr,1,1,5,4,80.0%,58,14.5,1,4,28,11.6,4.0,58.0,0
78,Hayden Hurst,ATL,28,te,1,1,4,4,100.0%,28,7.0,0,1,9,7.0,4.0,28.0,0
79,Alec Ingold,LVR,25,fb,1,1,4,4,100.0%,22,5.5,0,0,9,5.5,4.0,22.0,0
80,George Kittle,SFO,28,te,1,1,5,4,80.0%,78,19.5,0,3,35,15.6,4.0,78.0,0
81,Dawson Knox,BUF,25,,1,0,4,4,100.0%,41,10.3,0,3,13,10.3,4.0,41.0,0
82,Tyler Lockett,SEA,29,wr,1,1,5,4,80.0%,100,25.0,2,3,69,20.0,4.0,100.0,0
83,D.K. Metcalf,SEA,24,wr,1,1,5,4,80.0%,60,15.0,1,3,30,12.0,4.0,60.0,0
84,Joe Mixon,CIN,25,rb,1,1,4,4,100.0%,23,5.8,0,2,12,5.8,4.0,23.0,0
85,Rondale Moore,ARI,21,wr,1,1,5,4,80.0%,68,17.0,0,4,29,13.6,4.0,68.0,0
86,DeVante Parker,MIA,28,wr,1,1,7,4,57.1%,81,20.3,0,3,30,11.6,4.0,81.0,0
87,Zach Pascal,IND,27,wr,1,1,5,4,80.0%,43,10.8,2,3,16,8.6,4.0,43.0,0
88,Tim Patrick,DEN,28,wr,1,1,4,4,100.0%,39,9.8,1,4,16,9.8,4.0,39.0,0
89,Kyle Pitts,ATL,21,te,1,1,8,4,50.0%,31,7.8,0,1,18,3.9,4.0,31.0,0
90,Tony Pollard,DAL,24,,1,0,4,4,100.0%,29,7.3,0,1,11,7.3,4.0,29.0,0
92,Chester Rogers,TEN,27,,1,0,6,4,66.7%,62,15.5,0,2,39,10.3,4.0,62.0,0
93,Kyle Rudolph,NYG,32,te,2,1,7,4,57.1%,33,8.3,0,2,13,4.7,2.0,16.5,0
94,Emmanuel Sanders,BUF,34,wr,1,1,8,4,50.0%,52,13.0,0,3,16,6.5,4.0,52.0,0
95,Miles Sanders,PHI,24,rb,1,1,5,4,80.0%,39,9.8,0,1,25,7.8,4.0,39.0,0
96,JuJu Smith-Schuster,PIT,25,wr,1,1,8,4,50.0%,52,13.0,0,3,24,6.5,4.0,52.0,0
97,Jaylen Waddle,MIA,23,wr,1,1,5,4,80.0%,61,15.3,1,3,36,12.2,4.0,61.0,0
98,Sammy Watkins,BAL,28,wr,1,1,8,4,50.0%,96,24.0,0,4,49,12.0,4.0,96.0,0
99,Damien Williams,CHI,29,,1,0,5,4,80.0%,28,7.0,0,1,11,5.6,4.0,28.0,0
100,Mark Andrews,BAL,26,te,1,1,5,3,60.0%,20,6.7,0,1,10,4.0,3.0,20.0,0
101,Saquon Barkley,NYG,24,rb,2,2,6,3,50.0%,13,4.3,0,0,8,2.2,1.5,6.5,0
102,Trinity Benson,DET,24,,1,0,6,3,50.0%,19,6.3,0,1,11,3.2,3.0,19.0,0
103,Tyler Boyd,CIN,27,,1,0,4,3,75.0%,32,10.7,0,2,18,8.0,3.0,32.0,0
104,Damiere Byrd,CHI,28,,1,0,3,3,100.0%,19,6.3,0,1,10,6.3,3.0,19.0,0
105,Chris Carson,SEA,27,rb,1,1,3,3,100.0%,26,8.7,0,1,16,8.7,3.0,26.0,1
106,Quintez Cephus,DET,23,,1,0,6,3,50.0%,12,4.0,1,1,7,2.0,3.0,12.0,0
107,DJ Chark,JAX,25,wr,1,1,12,3,25.0%,86,28.7,1,3,41,7.2,3.0,86.0,0
108,Chase Claypool,PIT,23,,1,0,5,3,60.0%,45,15.0,0,2,22,9.0,3.0,45.0,0
109,Mike Davis,ATL,28,rb,1,1,6,3,50.0%,23,7.7,0,1,9,3.8,3.0,23.0,0
110,Will Dissly,SEA,25,te,1,1,3,3,100.0%,37,12.3,0,3,22,12.3,3.0,37.0,0
111,Jack Doyle,IND,31,te,1,1,4,3,75.0%,21,7.0,0,2,9,5.3,3.0,21.0,0
112,Clyde Edwards-Helaire,KAN,22,rb,1,1,3,3,100.0%,29,9.7,0,2,14,9.7,3.0,29.0,0
113,Mike Evans,TAM,28,wr,1,1,6,3,50.0%,24,8.0,0,2,10,4.0,3.0,24.0,0
114,Anthony Firkser,TEN,26,,1,0,4,3,75.0%,19,6.3,0,2,11,4.8,3.0,19.0,0
115,Melvin Gordon,DEN,28,rb,1,1,3,3,100.0%,17,5.7,0,0,13,5.7,3.0,17.0,0
116,Ryan Griffin,NYJ,31,te,1,1,6,3,50.0%,22,7.3,0,1,8,3.7,3.0,22.0,0
117,Jalen Guyton,LAC,24,wr,1,1,5,3,60.0%,49,16.3,0,2,22,9.8,3.0,49.0,0
118,KJ Hamler,DEN,22,,1,0,4,3,75.0%,41,13.7,0,3,22,10.3,3.0,41.0,0
119,Mecole Hardman,KAN,23,wr,1,1,3,3,100.0%,19,6.3,0,1,8,6.3,3.0,19.0,0
120,Derrick Henry ,TEN,27,rb,1,1,4,3,75.0%,19,6.3,0,0,8,4.8,3.0,19.0,0
121,Hunter Henry,NWE,27,te,1,1,3,3,100.0%,31,10.3,0,2,16,10.3,3.0,31.0,0
123,K.J. Hill,LAC,24,,1,0,3,3,100.0%,30,10.0,0,1,19,10.0,3.0,30.0,0
124,Austin Hooper,CLE,27,te,1,1,3,3,100.0%,27,9.0,0,2,14,9.0,3.0,27.0,0
125,Kareem Hunt,CLE,26,,1,0,3,3,100.0%,28,9.3,0,1,19,9.3,3.0,28.0,0
126,Blake Jarwin,DAL,27,te,1,1,3,3,100.0%,20,6.7,0,0,7,6.7,3.0,20.0,0
127,David Johnson,HOU,30,,1,0,4,3,75.0%,18,6.0,1,1,9,4.5,3.0,18.0,0
128,Juwan Johnson,NOR,25,,1,0,3,3,100.0%,21,7.0,2,3,12,7.0,3.0,21.0,0
129,Julio Jones,TEN,32,wr,1,1,6,3,50.0%,29,9.7,0,2,10,4.8,3.0,29.0,0
130,Alvin Kamara,NOR,26,rb,1,1,4,3,75.0%,8,2.7,1,2,3,2.0,3.0,8.0,0
131,Tyler Kroft,NYJ,29,,1,0,5,3,60.0%,26,8.7,0,1,10,5.2,3.0,26.0,0
132,Terrace Marshall Jr.,CAR,21,,1,0,6,3,50.0%,26,8.7,0,1,11,4.3,3.0,26.0,0
133,Jeremy McNichols,TEN,26,,1,0,4,3,75.0%,24,8.0,0,0,9,6.0,3.0,24.0,0
134,David Njoku,CLE,25,,1,0,5,3,60.0%,76,25.3,0,2,43,15.2,3.0,76.0,0
135,Albert Okwuegbunam,DEN,23,,1,0,3,3,100.0%,16,5.3,1,2,6,5.3,3.0,16.0,1
136,Michael Pittman Jr.,IND,24,wr,1,1,4,3,75.0%,29,9.7,0,1,14,7.3,3.0,29.0,0
137,Kalif Raymond,DET,27,wr,1,1,4,3,75.0%,50,16.7,0,2,25,12.5,3.0,50.0,0
