Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,Weight,Chalk,Xweight
62431-88213:Brenden Knox,62431-88213,RB,Brenden,Brenden Knox,Knox,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-29985:Jaydon Mickens,62431-29985,WR,Jaydon,Jaydon Mickens,Mickens,0.664285728,14,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-33702:Ryan Griffin,62431-33702,QB,Ryan,Ryan Griffin,Griffin,0.310000002,2,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-44715:Cooper Rush,62431-44715,QB,Cooper,Cooper Rush,Rush,0,1,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-55088:Malik Turner,62431-55088,WR,Malik,Malik Turner,Turner,0,1,5000,DAL@TB,DAL,TB,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-79920:Cyril Grayson,62431-79920,WR,Cyril,Cyril Grayson,Grayson,0,2,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-56248:Noah Brown,62431-56248,WR,Noah,Noah Brown,Brown,2.279999924,10,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-27065:Deante Burton,62431-27065,WR,Deante,Deante Burton,Burton,0,1,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-68155:Codey McElroy,62431-68155,TE,Codey,Codey McElroy,McElroy,3.5,1,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-92093:Jaelon Darden,62431-92093,WR,Jaelon,Jaelon Darden,Darden,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-30654:Jerell Adams,62431-30654,TE,Jerell,Jerell Adams,Adams,0,1,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-33472:C.J. Prosise,62431-33472,RB,C.J.,C.J. Prosise,Prosise,2.039999962,5,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-31169:Jeremy Sprinkle,62431-31169,TE,Jeremy,Jeremy Sprinkle,Sprinkle,0.480000019,5,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-72135:T.J. Vasher,62431-72135,WR,T.J.,T.J. Vasher,Vasher,,,5000,DAL@TB,DAL,TB,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-64974:Francis Bernard,62431-64974,RB,Francis,Francis Bernard,Bernard,0,1,5000,DAL@TB,DAL,TB,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-54863:C.J. Goodwin,62431-54863,WR,C.J.,C.J. Goodwin,Goodwin,0,5,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-91214:Stephen Guidry,62431-91214,WR,Stephen,Stephen Guidry,Guidry,0,1,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-71382:Osirus Mitchell,62431-71382,WR,Osirus,Osirus Mitchell,Mitchell,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-149717:JaQuan Hardy,62431-149717,RB,JaQuan,JaQuan Hardy,Hardy,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-130268:Josh Pearson,62431-130268,WR,Josh,Josh Pearson,Pearson,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-63586:De'Quan Hampton,62431-63586,WR,De'Quan,De'Quan Hampton,Hampton,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-72676:Troymaine Pope,62431-72676,RB,Troymaine,Troymaine Pope,Pope,3.950000048,4,5000,DAL@TB,TB,DAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-62566:Travis Jonsen,62431-62566,QB,Travis,Travis Jonsen,Jonsen,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-63078:Ke'Shawn Vaughn,62431-63078,RB,Ke'Shawn,Ke'Shawn Vaughn,Vaughn,2.985714231,7,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-72297:Rico Dowdle,62431-72297,RB,Rico,Rico Dowdle,Dowdle,0.800000032,3,5000,DAL@TB,DAL,TB,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-86125:Brandon Smith,62431-86125,WR,Brandon,Brandon Smith,Smith,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-63469:Ben DiNucci,62431-63469,QB,Ben,Ben DiNucci,DiNucci,2.320000013,3,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-14194:Blaine Gabbert,62431-14194,QB,Blaine,Blaine Gabbert,Gabbert,3.829999924,4,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-60788:Nick Ralston,62431-60788,TE,Nick,Nick Ralston,Ralston,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-52598:Johnnie Dixon,62431-52598,WR,Johnnie,Johnnie Dixon,Dixon,0,2,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-39930:Reggie Davis,62431-39930,WR,Reggie,Reggie Davis,Davis,0,2,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-68730:Sean McKeon,62431-68730,TE,Sean,Sean McKeon,McKeon,0,1,5000,DAL@TB,DAL,TB,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX,,,
