"Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order","Roster Position"
"61800-38596:Chris Martin","61800-38596","P","Chris","Chris Martin","Martin",3.33333333333333,24,5500,"TB@ATL","ATL","TB",,,,,,"P"
"61800-112348:Cody Stashak","61800-112348","P","Cody","Cody Stashak","Stashak",5.93333333333333,15,5500,"MIN@DET","MIN","DET","IL","Back",,,,"P"
"61800-14047:Brad Boxberger","61800-14047","P","Brad","Brad Boxberger","Boxberger",5.69047619047619,42,5500,"MIL@CIN","MIL","CIN","DTD","Shoulder",,,,"P"
"61800-81641:John Curtiss","61800-81641","P","John","John Curtiss","Curtiss",6.35483870967742,31,5500,"MIA@PHI","MIA","PHI",,,,,,"P"
"61800-81642:A.J. Minter","61800-81642","P","A.J.","A.J. Minter","Minter",4.04761904761905,42,5500,"TB@ATL","ATL","TB",,,,,,"P"
"61800-81644:Ryan Sherriff","61800-81644","P","Ryan","Ryan Sherriff","Sherriff",2.33333333333333,6,5500,"TB@ATL","TB","ATL",,,,,,"P"
"61800-5911:Ross Detwiler","61800-5911","P","Ross","Ross Detwiler","Detwiler",5.75,32,5500,"MIA@PHI","MIA","PHI",,,,,,"P"
"61800-53048:Cam Bedrosian","61800-53048","P","Cam","Cam Bedrosian","Bedrosian",4.57142857142857,14,5500,"MIA@PHI","PHI","MIA",,,,,,"P"
"61800-116548:Tyler Rogers","61800-116548","P","Tyler","Tyler Rogers","Rogers",4.46511627906977,43,5500,"SF@STL","SF","STL",,,,,,"P"
"61800-104293:Nick Ramirez","61800-104293","P","Nick","Nick Ramirez","Ramirez",5.38461538461539,13,5500,"SD@WSH","SD","WSH","IL","Shoulder",,,,"P"
"61800-6018:Wade LeBlanc","61800-6018","P","Wade","Wade LeBlanc","LeBlanc",6.53846153846154,13,5500,"SF@STL","STL","SF",,,,"Yes",,"P"
"61800-6054:Mark Melancon","61800-6054","P","Mark","Mark Melancon","Melancon",5.05128205128205,39,5500,"SD@WSH","SD","WSH",,,,,,"P"
"61800-102311:Luis Oviedo","61800-102311","P","Luis","Luis Oviedo","Oviedo",6.16666666666667,12,5500,"NYM@PIT","PIT","NYM","IL","Quadriceps",,,,"P"
"61800-6057:Andrew Miller","61800-6057","P","Andrew","Andrew Miller","Miller",4.04545454545455,22,5500,"SF@STL","STL","SF",,,,,,"P"
"61800-108461:Pete Fairbanks","61800-108461","P","Pete","Pete Fairbanks","Fairbanks",5.41379310344828,29,5500,"TB@ATL","TB","ATL",,,,,,"P"
"61800-102332:Jackson Kowar","61800-102332","P","Jackson","Jackson Kowar","Kowar",-3,3,5500,"BAL@KC","KC","BAL",,,,,,"P"
"61800-102345:Jose Soriano","61800-102345","P","Jose","Jose Soriano","Soriano",,,5500,"NYM@PIT","PIT","NYM","IL","Elbow",,,,"P"
"61800-110564:Chris Mazza","61800-110564","P","Chris","Chris Mazza","Mazza",2.71428571428571,7,5500,"TB@ATL","TB","ATL",,,,,,"P"
"61800-102394:Luis Patino","61800-102394","P","Luis","Luis Patino","Patino",17.6666666666667,6,5500,"TB@ATL","TB","ATL",,,,,,"P"
"61800-38036:T.J. McFarland","61800-38036","P","T.J.","T.J. McFarland","McFarland",-1,1,5000,"SF@STL","STL","SF",,,,,,"P"
"61800-79393:Fernando Tatis Jr.","61800-79393","SS","Fernando","Fernando Tatis Jr.","Tatis Jr.",16.5184213738692,76,4300,"SD@WSH","SD","WSH",,,,,,"SS/UTIL"
"61800-65881:Trea Turner","61800-65881","SS","Trea","Trea Turner","Turner",12.5149430899784,87,4200,"SD@WSH","WSH","SD",,,,,,"SS/UTIL"
"61800-14562:Jose Altuve","61800-14562","2B","Jose","Jose Altuve","Altuve",13.1607588755934,79,4100,"HOU@CWS","HOU","CWS",,,,,,"2B/UTIL"
"61800-11334:Freddie Freeman","61800-11334","1B","Freddie","Freddie Freeman","Freeman",12.3377780490451,90,4100,"TB@ATL","ATL","TB",,,,,,"C/1B/UTIL"
"61800-79282:Juan Soto","61800-79282","OF","Juan","Juan Soto","Soto",11.6469138816551,81,4100,"SD@WSH","WSH","SD",,,,,,"OF/UTIL"
"61800-12948:Bryce Harper","61800-12948","OF","Bryce","Bryce Harper","Harper",12.0399998256138,70,4000,"MIA@PHI","PHI","MIA",,,,,,"OF/UTIL"
"61800-82614:Pete Alonso","61800-82614","1B","Pete","Pete Alonso","Alonso",10.2848101265823,79,3900,"NYM@PIT","NYM","PIT",,,,,,"C/1B/UTIL"
"61800-70562:Whit Merrifield","61800-70562","2B/OF","Whit","Whit Merrifield","Merrifield",11.2406596089457,91,3800,"BAL@KC","KC","BAL",,,,,,"2B/OF/UTIL"
"61800-13929:Manny Machado","61800-13929","3B","Manny","Manny Machado","Machado",11.9045971399066,87,3800,"SD@WSH","SD","WSH",,,,,,"3B/UTIL"
"61800-82536:Cedric Mullins","61800-82536","OF","Cedric","Cedric Mullins","Mullins",11.8411105685764,90,3700,"BAL@KC","BAL","KC",,,,,,"OF/UTIL"
"61800-82575:Yordan Alvarez","61800-82575","OF","Yordan","Yordan Alvarez","Alvarez",11.9552628366571,76,3700,"HOU@CWS","HOU","CWS",,,,,,"OF/UTIL"
"61800-68587:Ozzie Albies","61800-68587","2B","Ozzie","Ozzie Albies","Albies",12.1348314606742,89,3700,"TB@ATL","ATL","TB",,,,,,"2B/UTIL"
"61800-5763:Nelson Cruz","61800-5763","OF","Nelson","Nelson Cruz","Cruz",11.1237503051758,80,3700,"MIN@DET","MIN","DET",,,,,,"OF/UTIL"
"61800-49523:Jose Abreu","61800-49523","1B","Jose","Jose Abreu","Abreu",11.2082354377298,85,3600,"HOU@CWS","CWS","HOU",,,,,,"C/1B/UTIL"
"61800-16952:Francisco Lindor","61800-16952","SS","Francisco","Francisco Lindor","Lindor",9.42298836543642,87,3600,"NYM@PIT","NYM","PIT","IL","Oblique",,,,"SS/UTIL"
"61800-12968:Paul Goldschmidt","61800-12968","1B","Paul","Paul Goldschmidt","Goldschmidt",10.5333333333333,90,3600,"SF@STL","STL","SF",,,,,,"C/1B/UTIL"
"61800-13266:Salvador Perez","61800-13266","C","Salvador","Salvador Perez","Perez",9.95824189238496,91,3600,"BAL@KC","KC","BAL",,,,,,"C/1B/UTIL"
"61800-79215:Rhys Hoskins","61800-79215","1B","Rhys","Rhys Hoskins","Hoskins",10.8577779134115,90,3600,"MIA@PHI","PHI","MIA",,,,,,"C/1B/UTIL"
"61800-12310:Carlos Santana","61800-12310","1B","Carlos","Carlos Santana","Santana",10.1769228086367,91,3500,"BAL@KC","KC","BAL",,,,,,"C/1B/UTIL"
"61800-52164:Adalberto Mondesi","61800-52164","2B/SS","Adalberto","Adalberto Mondesi","Mondesi",14.9699996948242,10,3500,"BAL@KC","KC","BAL","IL","Oblique",,,,"2B/SS/UTIL"
"61800-52170:Dominic Smith","61800-52170","1B/OF","Dominic","Dominic Smith","Smith",7.84823500689338,85,3500,"NYM@PIT","NYM","PIT",,,,,,"C/1B/OF/UTIL"
"61800-13342:Nick Castellanos","61800-13342","OF","Nick","Nick Castellanos","Castellanos",12.7682358685662,85,3500,"MIL@CIN","CIN","MIL","DTD","Wrist",,,,"OF/UTIL"
"61800-13423:Starling Marte","61800-13423","OF","Starling","Starling Marte","Marte",12.910908647017,55,3500,"MIA@PHI","MIA","PHI",,,,,,"OF/UTIL"
"61800-60672:Tim Anderson","61800-60672","SS","Tim","Tim Anderson","Anderson",11.4684207313939,76,3500,"HOU@CWS","CWS","HOU",,,,,,"SS/UTIL"
"61800-79175:Trent Grisham","61800-79175","OF","Trent","Trent Grisham","Grisham",11.3015155214252,66,3500,"SD@WSH","SD","WSH",,,,,,"OF/UTIL"
"61800-38614:Carlos Correa","61800-38614","SS","Carlos","Carlos Correa","Correa",11.9120483398438,83,3500,"HOU@CWS","HOU","CWS",,,,,,"SS/UTIL"
"61800-39086:Byron Buxton","61800-39086","OF","Byron","Byron Buxton","Buxton",15.6185189706308,27,3400,"MIN@DET","MIN","DET","IL","Hand",,,,"OF/UTIL"
"61800-68495:Andrew Benintendi","61800-68495","OF","Andrew","Andrew Benintendi","Benintendi",9.75441158519072,68,3400,"BAL@KC","KC","BAL",,,,,,"OF/UTIL"
"61800-5456:Andrew McCutchen","61800-5456","OF","Andrew","Andrew McCutchen","McCutchen",10.563529698989,85,3400,"MIA@PHI","PHI","MIA",,,,,,"OF/UTIL"
"61800-21875:Max Kepler","61800-21875","OF","Max","Max Kepler","Kepler",10.8368423194216,57,3400,"MIN@DET","MIN","DET",,,,,,"OF/UTIL"
"61800-13719:Nolan Arenado","61800-13719","3B","Nolan","Nolan Arenado","Arenado",10.3399997287326,90,3400,"SF@STL","STL","SF",,,,,,"3B/UTIL"
"61800-38872:Jesse Winker","61800-38872","OF","Jesse","Jesse Winker","Winker",12.0809522356306,84,3400,"MIL@CIN","CIN","MIL",,,,,,"OF/UTIL"
"61800-6273:Michael Brantley","61800-6273","OF","Michael","Michael Brantley","Brantley",10.5542855398996,70,3300,"HOU@CWS","HOU","CWS",,,,,,"OF/UTIL"
"61800-68586:Dansby Swanson","61800-68586","SS","Dansby","Dansby Swanson","Swanson",9.51868145282452,91,3300,"TB@ATL","ATL","TB",,,,,,"SS/UTIL"
"61800-21609:Christian Yelich","61800-21609","OF","Christian","Christian Yelich","Yelich",10.4295083968366,61,3300,"MIL@CIN","MIL","CIN",,,,,,"OF/UTIL"
"61800-60631:Kyle Schwarber","61800-60631","OF","Kyle","Kyle Schwarber","Schwarber",12.3180558946398,72,3300,"SD@WSH","WSH","SD","IL","Hamstring",,,,"OF/UTIL"
"61800-79125:Kyle Tucker","61800-79125","OF","Kyle","Kyle Tucker","Tucker",11.3849998474121,80,3300,"HOU@CWS","HOU","CWS",,,,,,"OF/UTIL"
"61800-118210:Jake Cronenworth","61800-118210","1B/2B","Jake","Jake Cronenworth","Cronenworth",10.6430106214298,93,3300,"SD@WSH","SD","WSH",,,,,,"C/1B/2B/UTIL"
"61800-53033:Mike Yastrzemski","61800-53033","OF","Mike","Mike Yastrzemski","Yastrzemski",10.8657535918771,73,3300,"SF@STL","SF","STL",,,,,,"OF/UTIL"
"61800-53401:Trey Mancini","61800-53401","1B/OF","Trey","Trey Mancini","Mancini",10.5227272727273,88,3200,"BAL@KC","BAL","KC",,,,,,"C/1B/OF/UTIL"
"61800-16947:Jonathan Schoop","61800-16947","2B/1B","Jonathan","Jonathan Schoop","Schoop",10.1556819568981,88,3200,"MIN@DET","DET","MIN",,,,,,"C/1B/2B/UTIL"
"61800-12961:Brandon Crawford","61800-12961","SS","Brandon","Brandon Crawford","Crawford",11.7382714542342,81,3200,"SF@STL","SF","STL","DTD","Hamstring",,,,"SS/UTIL"
"61800-17097:Brandon Nimmo","61800-17097","OF","Brandon","Brandon Nimmo","Nimmo",9.86060587565104,33,3200,"NYM@PIT","NYM","PIT",,,,,,"OF/UTIL"
"61800-17139:J.T. Realmuto","61800-17139","C","J.T.","J.T. Realmuto","Realmuto",9.45277743869358,72,3200,"MIA@PHI","PHI","MIA",,,,,,"C/1B/UTIL"
"61800-68547:Tyler O'Neill","61800-68547","OF","Tyler","Tyler O'Neill","O'Neill",10.7971426827567,70,3200,"SF@STL","STL","SF",,,,,,"OF/UTIL"
"61800-52180:Austin Meadows","61800-52180","OF","Austin","Austin Meadows","Meadows",11.4639537722565,86,3200,"TB@ATL","TB","ATL",,,,,,"OF/UTIL"
"61800-38117:Adam Duvall","61800-38117","OF","Adam","Adam Duvall","Duvall",10.1925003051758,80,3200,"MIA@PHI","MIA","PHI",,,,,,"OF/UTIL"
"61800-79093:Eloy Jimenez","61800-79093","OF","Eloy","Eloy Jimenez","Jimenez",11.2672729492188,55,3200,"HOU@CWS","CWS","HOU","IL","Pectoral",,,,"OF/UTIL"
"61800-85504:Brandon Lowe","61800-85504","2B/OF","Brandon","Brandon Lowe","Lowe",10.6499997093564,84,3200,"TB@ATL","TB","ATL",,,,,,"2B/OF/UTIL"
"61800-13854:Robbie Grossman","61800-13854","OF","Robbie","Robbie Grossman","Grossman",10.7298850574713,87,3200,"MIN@DET","DET","MIN",,,,,,"OF/UTIL"
"61800-61553:Yoan Moncada","61800-61553","3B","Yoan","Yoan Moncada","Moncada",9.87249984741211,80,3100,"HOU@CWS","CWS","HOU",,,,,,"3B/UTIL"
"61800-21074:Michael A. Taylor","61800-21074","OF","Michael A.","Michael A. Taylor","Taylor",7.82195151724466,82,3100,"BAL@KC","KC","BAL",,,,,,"OF/UTIL"
"61800-52162:Hunter Dozier","61800-52162","3B/OF","Hunter","Hunter Dozier","Dozier",7.00533365885417,75,3100,"BAL@KC","KC","BAL",,,,,,"3B/OF/UTIL"
"61800-79074:Austin Riley","61800-79074","3B","Austin","Austin Riley","Riley",9.67888861762153,90,3100,"TB@ATL","ATL","TB",,,,,,"3B/UTIL"
"61800-79230:Bryan Reynolds","61800-79230","OF","Bryan","Bryan Reynolds","Reynolds",11.5011233211903,89,3100,"NYM@PIT","PIT","NYM",,,,,,"OF/UTIL"
"61800-12113:Josh Donaldson","61800-12113","3B","Josh","Josh Donaldson","Donaldson",10.1338028169014,71,3100,"MIN@DET","MIN","DET",,,,,,"3B/UTIL"
"61800-23107:Jorge Soler","61800-23107","OF","Jorge","Jorge Soler","Soler",6.78333318801153,84,3000,"BAL@KC","KC","BAL",,,,,,"OF/UTIL"
"61800-80457:Adam Engel","61800-80457","OF","Adam","Adam Engel","Engel",12.1,15,3000,"HOU@CWS","CWS","HOU",,,,,,"OF/UTIL"
"61800-80462:Paul DeJong","61800-80462","SS","Paul","Paul DeJong","DeJong",8.40937519073486,64,3000,"SF@STL","STL","SF",,,,,,"SS/UTIL"
"61800-82527:Jazz Chisholm Jr.","61800-82527","2B/SS","Jazz","Jazz Chisholm Jr.","Chisholm Jr.",10.5304344287817,69,3000,"MIA@PHI","MIA","PHI",,,,,,"2B/SS/UTIL"
"61800-13188:Jean Segura","61800-13188","2B/3B/SS","Jean","Jean Segura","Segura",9.875,64,3000,"MIA@PHI","PHI","MIA",,,,,,"2B/3B/SS/UTIL"
"61800-68522:Alex Bregman","61800-68522","3B","Alex","Alex Bregman","Bregman",10.6847461765095,59,3000,"HOU@CWS","HOU","CWS","IL","Quadriceps",,,,"3B/UTIL"
"61800-52197:Brian Goodwin","61800-52197","OF","Brian","Brian Goodwin","Goodwin",10.6259256998698,27,3000,"HOU@CWS","CWS","HOU",,,,,,"OF/UTIL"
"61800-70898:Adam Frazier","61800-70898","2B/OF","Adam","Adam Frazier","Frazier",10.0780217097356,91,3000,"NYM@PIT","PIT","NYM",,,,,,"2B/OF/UTIL"
"61800-85261:Randy Arozarena","61800-85261","OF","Randy","Randy Arozarena","Arozarena",10.4392860049293,84,3000,"TB@ATL","TB","ATL",,,,,,"OF/UTIL"
"61800-13864:Joc Pederson","61800-13864","OF","Joc","Joc Pederson","Pederson",9.16933349609375,75,3000,"TB@ATL","ATL","TB",,,,,,"OF/UTIL"
"61800-12985:Avisail Garcia","61800-12985","OF","Avisail","Avisail Garcia","Garcia",10.1602408167828,83,2900,"MIL@CIN","MIL","CIN",,,,,,"OF/UTIL"
"61800-5181:Yadier Molina","61800-5181","C","Yadier","Yadier Molina","Molina",8.46000017438616,70,2900,"SF@STL","STL","SF",,,,,,"C/1B/UTIL"
"61800-13487:Tommy Pham","61800-13487","OF","Tommy","Tommy Pham","Pham",9.92087898673592,91,2900,"SD@WSH","SD","WSH",,,,,,"OF/UTIL"
"61800-83182:Eric Haase","61800-83182","C/OF","Eric","Eric Haase","Haase",10.4155558268229,45,2900,"MIN@DET","DET","MIN","DTD","Head",,,,"C/1B/OF/UTIL"
"61800-79120:Yandy Diaz","61800-79120","1B/3B","Yandy","Yandy Diaz","Diaz",8.4000001565004,78,2900,"TB@ATL","TB","ATL",,,,,,"C/1B/3B/UTIL"
"61800-5488:Joey Votto","61800-5488","1B","Joey","Joey Votto","Votto",10.0698416573661,63,2900,"MIL@CIN","CIN","MIL",,,,,,"C/1B/UTIL"
"61800-79216:Ke'Bryan Hayes","61800-79216","3B","Ke'Bryan","Ke'Bryan Hayes","Hayes",9.64102564102564,39,2900,"NYM@PIT","PIT","NYM",,,,,,"3B/UTIL"
"61800-21874:Jorge Polanco","61800-21874","2B/SS","Jorge","Jorge Polanco","Polanco",10.1940474737258,84,2900,"MIN@DET","MIN","DET",,,,,,"2B/SS/UTIL"
"61800-14000:Darin Ruf","61800-14000","OF","Darin","Darin Ruf","Ruf",7.20000020011527,61,2900,"SF@STL","SF","STL",,,,,,"OF/UTIL"
"61800-108450:Tommy Edman","61800-108450","2B/OF","Tommy","Tommy Edman","Edman",9.01555582682292,90,2900,"SF@STL","STL","SF",,,,,,"2B/OF/UTIL"
"61800-6292:Buster Posey","61800-6292","1B","Buster","Buster Posey","Posey",10.9655172413793,58,2800,"SF@STL","SF","STL","IL","Thumb",,,,"C/1B/UTIL"
"61800-16948:Kolten Wong","61800-16948","2B","Kolten","Kolten Wong","Wong",10.4054543235085,55,2800,"MIL@CIN","MIL","CIN",,,,,,"2B/UTIL"
"61800-17012:Curt Casali","61800-17012","C","Curt","Curt Casali","Casali",6.87727286598899,44,2800,"SF@STL","SF","STL",,,,,,"C/1B/UTIL"
"61800-38016:Jesus Aguilar","61800-38016","1B","Jesus","Jesus Aguilar","Aguilar",10.0363637750799,88,2800,"MIA@PHI","MIA","PHI",,,,,,"C/1B/UTIL"
"61800-79188:Alex Kirilloff","61800-79188","OF","Alex","Alex Kirilloff","Kirilloff",9.17142813546317,56,2800,"MIN@DET","MIN","DET",,,,,,"OF/UTIL"
"61800-102308:Jonathan India","61800-102308","2B/3B","Jonathan","Jonathan India","India",9.88395031587577,81,2800,"MIL@CIN","CIN","MIL",,,,,,"2B/3B/UTIL"
"61800-81953:Austin Hays","61800-81953","OF","Austin","Austin Hays","Hays",9.4213116755251,61,2700,"BAL@KC","BAL","KC",,,,,,"OF/UTIL"
"61800-12900:Brandon Belt","61800-12900","1B","Brandon","Brandon Belt","Belt",10.2363636363636,55,2700,"SF@STL","SF","STL","IL","Knee",,,,"C/1B/UTIL"
"61800-82611:Akil Baddoo","61800-82611","OF","Akil","Akil Baddoo","Baddoo",9.34507042253521,71,2700,"MIN@DET","DET","MIN",,,,,,"OF/UTIL"
"61800-68525:J.D. Davis","61800-68525","3B/OF","J.D.","J.D. Davis","Davis",11.4937496185303,16,2700,"NYM@PIT","NYM","PIT",,,,,,"3B/OF/UTIL"
"61800-52168:Colin Moran","61800-52168","1B/3B","Colin","Colin Moran","Moran",7.44285739198023,49,2700,"NYM@PIT","PIT","NYM","IL","Wrist",,,,"C/1B/3B/UTIL"
"61800-13390:Miguel Rojas","61800-13390","SS","Miguel","Miguel Rojas","Rojas",8.98142874581473,70,2700,"MIA@PHI","MIA","PHI",,,,,,"SS/UTIL"
"61800-60642:Michael Conforto","61800-60642","OF","Michael","Michael Conforto","Conforto",7.17962985568576,54,2700,"NYM@PIT","NYM","PIT",,,,,,"OF/UTIL"
"61800-79136:Daz Cameron","61800-79136","OF","Daz","Daz Cameron","Cameron",9.90000017951517,17,2700,"MIN@DET","DET","MIN","IL","Toe",,,,"OF/UTIL"
"61800-79249:Harrison Bader","61800-79249","OF","Harrison","Harrison Bader","Bader",9.40606042110559,33,2700,"SF@STL","STL","SF",,,,,,"OF/UTIL"
"61800-5607:Evan Longoria","61800-5607","3B","Evan","Evan Longoria","Longoria",10.4919995117188,50,2700,"SF@STL","SF","STL","IL","Shoulder",,,,"3B/UTIL"
"61800-71182:Jeimer Candelario","61800-71182","1B/3B","Jeimer","Jeimer Candelario","Candelario",8.11566235645708,83,2700,"MIN@DET","DET","MIN",,,,,,"C/1B/3B/UTIL"
"61800-13841:Didi Gregorius","61800-13841","SS","Didi","Didi Gregorius","Gregorius",8.90000013871626,44,2700,"MIA@PHI","PHI","MIA",,,,,,"SS/UTIL"
"61800-71507:Yuli Gurriel","61800-71507","1B","Yuli","Yuli Gurriel","Gurriel",10.5976469152114,85,2700,"HOU@CWS","HOU","CWS",,,,,,"C/1B/UTIL"
"61800-79884:Anthony Santander","61800-79884","OF","Anthony","Anthony Santander","Santander",7.57666676839193,60,2600,"BAL@KC","BAL","KC",,,,,,"OF/UTIL"
"61800-135239:Rodolfo Castro","61800-135239","SS","Rodolfo","Rodolfo Castro","Castro",9.82857186453683,7,2600,"NYM@PIT","PIT","NYM",,,,,,"SS/UTIL"
"61800-16950:Miguel Sano","61800-16950","1B","Miguel","Miguel Sano","Sano",8.73478278560915,69,2600,"MIN@DET","MIN","DET",,,,,,"C/1B/UTIL"
"61800-72261:Guillermo Heredia","61800-72261","OF","Guillermo","Guillermo Heredia","Heredia",7.88032806896773,61,2600,"TB@ATL","ATL","TB",,,,,,"OF/UTIL"
"61800-16981:Yan Gomes","61800-16981","C","Yan","Yan Gomes","Gomes",8.87377029168801,61,2600,"SD@WSH","WSH","SD","IL","Oblique",,,,"C/1B/UTIL"
"61800-119495:Andrew Vaughn","61800-119495","1B/OF","Andrew","Andrew Vaughn","Vaughn",8.09870098163555,77,2600,"HOU@CWS","CWS","HOU",,,,,,"C/1B/OF/UTIL"
"61800-5118:Miguel Cabrera","61800-5118","1B","Miguel","Miguel Cabrera","Cabrera",7.71159384907156,69,2600,"MIN@DET","DET","MIN",,,,,,"C/1B/UTIL"
