Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
64277-16956:Gerrit Cole,64277-16956,P,Gerrit,Gerrit Cole,Cole,42.42857143,28,11400,TEX@NYY,NYY,TEX,,,,,,P
64277-82604:Corbin Burnes,64277-82604,P,Corbin,Corbin Burnes,Burnes,43.92307692,26,11300,STL@MIL,MIL,STL,,,,,,P
64277-53029:Robbie Ray,64277-53029,P,Robbie,Robbie Ray,Ray,42.5862069,29,11000,TOR@TB,TOR,TB,,,,Yes,,P
64277-52183:Tyler Glasnow,64277-52183,P,Tyler,Tyler Glasnow,Glasnow,44.35714286,14,10800,TOR@TB,TB,TOR,IL,Elbow,,,,P
64277-16960:Zack Wheeler,64277-16960,P,Zack,Zack Wheeler,Wheeler,40.67741935,31,10700,BAL@PHI,PHI,BAL,,,,,,P
64277-79246:Jack Flaherty,64277-79246,P,Jack,Jack Flaherty,Flaherty,34.5,14,10300,STL@MIL,STL,MIL,IL,Shoulder,,,,P
64277-53067:Chris Bassitt,64277-53067,P,Chris,Chris Bassitt,Bassitt,35.56,25,10300,SEA@OAK,OAK,SEA,IL,Face,,,,P
64277-5202:Justin Verlander,64277-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,HOU@LAA,HOU,LAA,IL,Elbow,,,,P
64277-80582:Brandon Woodruff,64277-80582,P,Brandon,Brandon Woodruff,Woodruff,38.85714286,28,10000,STL@MIL,MIL,STL,,,,,,P
64277-5431:Adam Wainwright,64277-5431,P,Adam,Adam Wainwright,Wainwright,33.96875,32,9800,STL@MIL,STL,MIL,,,,,,P
64277-52159:Lance McCullers Jr.,64277-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,33.82142857,28,9700,HOU@LAA,HOU,LAA,,,,,,P
64277-52165:Sean Manaea,64277-52165,P,Sean,Sean Manaea,Manaea,31.68965517,29,9600,SEA@OAK,OAK,SEA,,,,Yes,,P
64277-60639:Jose Berrios,64277-60639,P,Jose,Jose Berrios,Berrios,34.2,30,9400,TOR@TB,TOR,TB,,,,,,P
64277-102407:Shane McClanahan,64277-102407,P,Shane,Shane McClanahan,McClanahan,30.17391304,23,9300,TOR@TB,TB,TOR,,,,,,P
64277-63781:Frankie Montas,64277-63781,P,Frankie,Frankie Montas,Montas,34.5,30,9300,SEA@OAK,OAK,SEA,,,,,,P
64277-85599:Framber Valdez,64277-85599,P,Framber,Framber Valdez,Valdez,34.36842105,19,9300,HOU@LAA,HOU,LAA,,,,Yes,,P
64277-52185:Max Fried,64277-52185,P,Max,Max Fried,Fried,29.93103448,29,9300,ATL@ARI,ATL,ARI,,,,,,P
64277-5466:Charlie Morton,64277-5466,P,Charlie,Charlie Morton,Morton,33.64516129,31,9200,ATL@ARI,ATL,ARI,,,,,,P
64277-102335:Cristian Javier,64277-102335,P,Cristian,Cristian Javier,Javier,17.48484848,33,9100,HOU@LAA,HOU,LAA,,,,,,P
64277-83157:Ranger Suarez,64277-83157,P,Ranger,Ranger Suarez,Suarez,14.33333333,36,9000,BAL@PHI,PHI,BAL,,,,Yes,,P
64277-60644:Luis Severino,64277-60644,P,Luis,Luis Severino,Severino,,,9000,TEX@NYY,NYY,TEX,IL,Shoulder,,,,P
64277-5522:Zack Greinke,64277-5522,P,Zack,Zack Greinke,Greinke,25.93103448,29,9000,HOU@LAA,HOU,LAA,,,,,,P
64277-119441:Alek Manoah,64277-119441,P,Alek,Alek Manoah,Manoah,32.47058824,17,9000,TOR@TB,TOR,TB,,,,,,P
64277-83190:Freddy Peralta,64277-83190,P,Freddy,Freddy Peralta,Peralta,34.59259259,27,8900,STL@MIL,MIL,STL,,,,Yes,,P
64277-37014:Hyun Jin Ryu,64277-37014,P,Hyun Jin,Hyun Jin Ryu,Ryu,26.79310345,29,8800,TOR@TB,TOR,TB,IL,Neck,,,,P
64277-60647:Aaron Nola,64277-60647,P,Aaron,Aaron Nola,Nola,31.4516129,31,8800,BAL@PHI,PHI,BAL,,,,,,P
64277-79853:Jordan Montgomery,64277-79853,P,Jordan,Jordan Montgomery,Montgomery,28.55555556,27,8800,TEX@NYY,NYY,TEX,,,,,,P
64277-110822:Jose Urquidy,64277-110822,P,Jose,Jose Urquidy,Urquidy,28.11764706,17,8700,HOU@LAA,HOU,LAA,,,,,,P
64277-101881:Merrill Kelly,64277-101881,P,Merrill,Merrill Kelly,Kelly,26.56,25,8700,ATL@ARI,ARI,ATL,,,,,,P
64277-16961:Jameson Taillon,64277-16961,P,Jameson,Jameson Taillon,Taillon,25.92592593,27,8700,TEX@NYY,NYY,TEX,IL,Ankle,,,,P
64277-68482:Zach Eflin,64277-68482,P,Zach,Zach Eflin,Eflin,29.72222222,18,8700,BAL@PHI,PHI,BAL,IL,Knee,,,,P
64277-118206:Luis Gil,64277-118206,P,Luis,Luis Gil,Gil,30.33333333,6,8600,TEX@NYY,NYY,TEX,,,,,,P
