Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
64327-52859:Jacob deGrom,64327-52859,P,Jacob,Jacob deGrom,deGrom,50.375,16,12000,NYM@BOS,NYM,BOS,IL,Elbow,,,,P
64327-5481:Max Scherzer,64327-5481,P,Max,Max Scherzer,Scherzer,43.92857143,28,11500,LAD@COL,LAD,COL,,,,,,P
64327-16956:Gerrit Cole,64327-16956,P,Gerrit,Gerrit Cole,Cole,42.42857143,28,11400,TEX@NYY,NYY,TEX,,,,,,P
64327-82604:Corbin Burnes,64327-82604,P,Corbin,Corbin Burnes,Burnes,43.92307692,26,11300,STL@MIL,MIL,STL,,,,,,P
64327-16959:Trevor Bauer,64327-16959,P,Trevor,Trevor Bauer,Bauer,43.82352941,17,11000,LAD@COL,LAD,COL,O,Personal,,,,P
64327-53029:Robbie Ray,64327-53029,P,Robbie,Robbie Ray,Ray,42.5862069,29,11000,TOR@TB,TOR,TB,,,,,,P
64327-5427:Clayton Kershaw,64327-5427,P,Clayton,Clayton Kershaw,Kershaw,33.86363636,22,10900,LAD@COL,LAD,COL,,,,,,P
64327-52183:Tyler Glasnow,64327-52183,P,Tyler,Tyler Glasnow,Glasnow,44.35714286,14,10800,TOR@TB,TB,TOR,IL,Elbow,,,,P
64327-16960:Zack Wheeler,64327-16960,P,Zack,Zack Wheeler,Wheeler,40.67741935,31,10700,BAL@PHI,PHI,BAL,,,,,,P
64327-68488:Blake Snell,64327-68488,P,Blake,Blake Snell,Snell,29.11111111,27,10700,SF@SD,SD,SF,IL,Groin,,,,P
64327-79246:Jack Flaherty,64327-79246,P,Jack,Jack Flaherty,Flaherty,34.5,14,10300,STL@MIL,STL,MIL,IL,Shoulder,,,,P
64327-53067:Chris Bassitt,64327-53067,P,Chris,Chris Bassitt,Bassitt,35.56,25,10300,SEA@OAK,OAK,SEA,IL,Face,,,,P
64327-80582:Brandon Woodruff,64327-80582,P,Brandon,Brandon Woodruff,Woodruff,38.85714286,28,10200,STL@MIL,MIL,STL,,,,Yes,,P
64327-12477:Chris Sale,64327-12477,P,Chris,Chris Sale,Sale,31.16666667,6,10000,NYM@BOS,BOS,NYM,,,,,,P
64327-13233:Nathan Eovaldi,64327-13233,P,Nathan,Nathan Eovaldi,Eovaldi,32.86666667,30,10000,NYM@BOS,BOS,NYM,,,,,,P
64327-52172:Noah Syndergaard,64327-52172,P,Noah,Noah Syndergaard,Syndergaard,,,10000,NYM@BOS,NYM,BOS,IL,Elbow,,,,P
64327-5202:Justin Verlander,64327-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,HOU@LAA,HOU,LAA,IL,Elbow,,,,P
