Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,Weight
64243-28080:Devin Funchess,64243-28080,WR,Devin,Devin Funchess,Funchess,,,5000,DET@GB,GB,DET,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX,
64243-72627:Patrick Taylor,64243-72627,RB,Patrick,Patrick Taylor,Taylor,,,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-61112:Josiah Deguara,64243-61112,TE,Josiah,Josiah Deguara,Deguara,1.700000048,1,5000,DET@GB,GB,DET,D,Concussion,,,,MVP - 1.5X Points/AnyFLEX,
64243-85306:KhaDarel Hodge,64243-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.9375,8,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-60861:Damion Ratley,64243-60861,WR,Damion,Damion Ratley,Ratley,1.383333365,6,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-104388:Tom Kennedy,64243-104388,WR,Tom,Tom Kennedy,Kennedy,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-64841:Equanimeous St. Brown,64243-64841,WR,Equanimeous,Equanimeous St. Brown,St. Brown,2.660000038,10,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-56142:Juwann Winfree,64243-56142,WR,Juwann,Juwann Winfree,Winfree,,,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-69326:Isaac Nauta,64243-69326,TE,Isaac,Isaac Nauta,Nauta,0.266666671,3,5000,DET@GB,GB,DET,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,
64243-52560:Geronimo Allison,64243-52560,WR,Geronimo,Geronimo Allison,Allison,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-104281:Jake Dolegala,64243-104281,QB,Jake,Jake Dolegala,Dolegala,0,1,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-63321:Rashod Berry,64243-63321,TE,Rashod,Rashod Berry,Berry,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-93023:Jermar Jefferson,64243-93023,RB,Jermar,Jermar Jefferson,Jefferson,,,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-104424:Craig Reynolds,64243-104424,RB,Craig,Craig Reynolds,Reynolds,0.400000016,3,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-63603:Jared Pinkney,64243-63603,WR,Jared,Jared Pinkney,Pinkney,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-64115:Steven Montez,64243-64115,QB,Steven,Steven Montez,Montez,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-86770:Hunter Bryant,64243-86770,TE,Hunter,Hunter Bryant,Bryant,1.633333365,3,5000,DET@GB,DET,GB,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,
64243-39034:Kurt Benkert,64243-39034,QB,Kurt,Kurt Benkert,Benkert,0,1,5000,DET@GB,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-88317:Javon Leake,64243-88317,RB,Javon,Javon Leake,Leake,0,1,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-52606:David Blough,64243-52606,QB,David,David Blough,Blough,1.379999995,2,5000,DET@GB,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX,
64243-95999:Charlie Taumoepeau,64243-95999,TE,Charlie,Charlie Taumoepeau,Taumoepeau,0,1,5000,DET@GB,DET,GB,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX,
