entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"2579332778","64523-249008707","$2K Sat MLB Bunt (Single Entry)","64523-101804","64523-49523","64523-13378","64523-61553","64523-60672","64523-82536","64523-79082","64523-53401","64523-11334","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","","","","",64523-17064:Sonny Gray,64523-17064,P,Sonny,Sonny Gray,Gray,29.72,25,8800,WSH@CIN,CIN,WSH,,,,,,P
"","","","","","","","","","","","","",64523-12972:Wade Miley,64523-12972,P,Wade,Wade Miley,Miley,27.1,30,8800,WSH@CIN,CIN,WSH,DTD,Neck,,,,P
"","","","","","","","","","","","","",64523-52185:Max Fried,64523-52185,P,Max,Max Fried,Fried,29.580645161290324,31,8800,ATL@SD,ATL,SD,,,,,,P
"","","","","","","","","","","","","",64523-79228:Cal Quantrill,64523-79228,P,Cal,Cal Quantrill,Quantrill,18.71794871794872,39,8700,CWS@CLE,CLE,CWS,,,,,,P
"","","","","","","","","","","","","",64523-73880:German Marquez,64523-73880,P,German,German Marquez,Marquez,29.967741935483872,31,8600,SF@COL,COL,SF,,,,,,P
"","","","","","","","","","","","","",64523-5466:Charlie Morton,64523-5466,P,Charlie,Charlie Morton,Morton,33.75,32,8600,ATL@SD,ATL,SD,,,,,,P
"","","","","","","","","","","","","",64523-21098:James Paxton,64523-21098,P,James,James Paxton,Paxton,7,1,8500,SEA@LAA,SEA,LAA,IL,Forearm,,,,P
"","","","","","","","","","","","","",64523-82557:Aaron Civale,64523-82557,P,Aaron,Aaron Civale,Civale,29.789473684210527,19,8500,CWS@CLE,CLE,CWS,,,,,,P
"","","","","","","","","","","","","",64523-68452:Kenta Maeda,64523-68452,P,Kenta,Kenta Maeda,Maeda,24,23,8500,TOR@MIN,MIN,TOR,IL,Forearm,,,,P
"","","","","","","","","","","","","",64523-70559:Mike Clevinger,64523-70559,P,Mike,Mike Clevinger,Clevinger,29.625,8,8500,ATL@SD,SD,ATL,IL,Elbow,,,,P
"","","","","","","","","","","","","",64523-38246:Tyler Anderson,64523-38246,P,Tyler,Tyler Anderson,Anderson,26.678571428571427,28,8500,SEA@LAA,SEA,LAA,,,,Yes,,P
"","","","","","","","","","","","","",64523-16931:Yu Darvish,64523-16931,P,Yu,Yu Darvish,Darvish,32.3448275862069,29,8400,ATL@SD,SD,ATL,,,,,,P
"","","","","","","","","","","","","",64523-68517:Antonio Senzatela,64523-68517,P,Antonio,Antonio Senzatela,Senzatela,24.307692307692307,26,8400,SF@COL,COL,SF,,,,,,P
"","","","","","","","","","","","","",64523-101881:Merrill Kelly,64523-101881,P,Merrill,Merrill Kelly,Kelly,26.346153846153847,26,8400,LAD@ARI,ARI,LAD,,,,,,P
"","","","","","","","","","","","","",64523-104584:Zach Plesac,64523-104584,P,Zach,Zach Plesac,Plesac,24.708333333333332,24,8200,CWS@CLE,CLE,CWS,,,,,,P
"","","","","","","","","","","","","",64523-66766:Adrian Houser,64523-66766,P,Adrian,Adrian Houser,Houser,24.185185185185187,27,8200,NYM@MIL,MIL,NYM,,,,,,P
"","","","","","","","","","","","","",64523-102396:Logan Gilbert,64523-102396,P,Logan,Logan Gilbert,Gilbert,25.652173913043477,23,8200,SEA@LAA,SEA,LAA,,,,,,P
"","","","","","","","","","","","","",64523-12929:Jordan Lyles,64523-12929,P,Jordan,Jordan Lyles,Lyles,23.4,30,8100,TEX@BAL,TEX,BAL,,,,Yes,,P
"","","","","","","","","","","","","",64523-52190:Marco Gonzales,64523-52190,P,Marco,Marco Gonzales,Gonzales,25.125,24,8100,SEA@LAA,SEA,LAA,,,,,,P
